,rate,payload_size,message_size,n_messages,confirm,blosc,random,n_pilots,mean_delay,drop_rate,actual_rate,send_jitter,delay_jitter
0,0.0,1048632.0,1398576.0,5000,False,False,True,1,0.104057,0.0,20.915688858212544,0.002713,0.016073
1,0.0,524344.0,699520.0,5000,False,False,True,1,0.019693,0.0,40.85634907664651,0.000643,0.009174
2,0.0,131128.0,175232.0,5000,False,False,True,1,18.047672,0.0,140.0364094664613,0.000991,1.92572
3,0.0,16440.0,22312.0,5000,False,False,True,1,3.438769,0.0,731.528895391368,6.5e-05,0.180377
4,0.0,28.0,403.0,5000,False,False,True,1,1.351904,0.0,1818.181818181818,0.000885,0.221393
