group,latencies
"(25, 5)",0.000495
"(25, 6)",0.00047
"(25, 7)",0.000475
"(25, 8)",0.000506
"(25, 9)",0.000486
"(26, 0)",0.000478
"(26, 1)",0.000486
"(26, 2)",0.000426
"(26, 3)",0.000554
"(26, 4)",0.000565
"(26, 5)",0.000465
"(26, 6)",0.000506
"(26, 7)",0.000415
"(26, 8)",0.000454
"(26, 9)",0.00041
"(27, 0)",0.00049
"(27, 1)",0.000514
"(27, 2)",0.000434
"(27, 3)",0.000542
"(27, 4)",0.000565
"(27, 5)",0.000585
"(27, 6)",0.00045
"(27, 7)",0.000435
"(27, 8)",0.000494
"(27, 9)",0.00043
"(28, 0)",0.00041
"(28, 1)",0.000434
"(28, 2)",0.000442
"(28, 3)",0.000526
"(28, 4)",0.000515
"(28, 5)",0.000545
"(28, 6)",0.00049
"(28, 7)",0.000505
"(28, 8)",0.000454
"(28, 9)",0.00045
"(29, 0)",0.000434
"(29, 1)",0.000442
"(29, 2)",0.00045
"(29, 3)",0.000506
"(29, 4)",0.000465
"(29, 5)",0.000485
"(29, 6)",0.000542
"(29, 7)",0.000455
"(29, 8)",0.000474
"(29, 9)",0.000454
"(30, 0)",0.000438
"(30, 1)",0.000454
"(30, 2)",0.000474
"(30, 3)",0.000494
"(30, 4)",0.000555
"(30, 5)",0.000575
"(30, 6)",0.000484
"(30, 7)",0.000465
"(30, 8)",0.000502
"(30, 9)",0.000482
"(31, 0)",0.000454
"(31, 1)",0.000466
"(31, 2)",0.000482
"(31, 3)",0.000482
"(31, 4)",0.000515
"(31, 5)",0.000535
"(31, 6)",0.00053
"(31, 7)",0.000495
"(31, 8)",0.000442
"(31, 9)",0.00041
"(32, 0)",0.000458
"(32, 1)",0.000478
"(32, 2)",0.000398
"(32, 3)",0.00047
"(32, 4)",0.000475
"(32, 5)",0.000495
"(32, 6)",0.000482
"(32, 7)",0.000445
"(32, 8)",0.000462
"(32, 9)",0.000458
"(33, 0)",0.000466
"(33, 1)",0.000406
"(33, 2)",0.000402
"(33, 3)",0.000566
"(33, 4)",0.000535
"(33, 5)",0.000535
"(33, 6)",0.000446
"(33, 7)",0.000445
"(33, 8)",0.000494
"(33, 9)",0.000482
"(34, 0)",0.000466
"(34, 1)",0.000418
"(34, 2)",0.000408
"(34, 3)",0.00055
"(34, 4)",0.000525
"(34, 5)",0.000495
"(34, 6)",0.000474
"(34, 7)",0.000455
"(34, 8)",0.00045
"(34, 9)",0.000486
"(35, 0)",0.000474
"(35, 1)",0.000426
"(35, 2)",0.000414
"(35, 3)",0.00053
"(35, 4)",0.000495
"(35, 5)",0.000455
"(35, 6)",0.000514
"(35, 7)",0.000495
"(35, 8)",0.000538
"(35, 9)",0.00041
"(36, 0)",0.00049
"(36, 1)",0.000438
"(36, 2)",0.000414
"(36, 3)",0.000506
"(36, 4)",0.000545
"(36, 5)",0.000505
"(36, 6)",0.000462
"(36, 7)",0.000435
"(36, 8)",0.000482
"(36, 9)",0.000422
"(37, 0)",0.000414
"(37, 1)",0.000446
"(37, 2)",0.000438
"(37, 3)",0.00049
"(37, 4)",0.000535
"(37, 5)",0.000475
"(37, 6)",0.000494
"(37, 7)",0.000435
"(37, 8)",0.000418
"(37, 9)",0.000466
"(38, 0)",0.000426
"(38, 1)",0.000454
"(38, 2)",0.000446
"(38, 3)",0.000486
"(38, 4)",0.000485
"(38, 5)",0.000505
"(38, 6)",0.000538
"(38, 7)",0.000455
"(38, 8)",0.000438
"(38, 9)",0.000478
"(39, 0)",0.00043
"(39, 1)",0.000474
"(39, 2)",0.000458
"(39, 3)",0.00047
"(39, 4)",0.000465
"(39, 5)",0.000455
"(39, 6)",0.000482
"(39, 7)",0.000495
"(39, 8)",0.000466
"(39, 9)",0.00049
"(40, 0)",0.000434
"(40, 1)",0.00049
"(40, 2)",0.000462
"(40, 3)",0.00055
"(40, 4)",0.000515
"(40, 5)",0.000505
"(40, 6)",0.000526
"(40, 7)",0.000435
"(40, 8)",0.000494
"(40, 9)",0.000426
"(41, 0)",0.000438
"(41, 1)",0.000426
"(41, 2)",0.00047
"(41, 3)",0.000538
"(41, 4)",0.000495
"(41, 5)",0.000485
"(41, 6)",0.000474
"(41, 7)",0.000445
"(41, 8)",0.000458
"(41, 9)",0.000446
"(42, 0)",0.000442
"(42, 1)",0.000426
"(42, 2)",0.000474
"(42, 3)",0.000526
"(42, 4)",0.000495
"(42, 5)",0.000505
"(42, 6)",0.000502
"(42, 7)",0.000475
"(42, 8)",0.000494
"(42, 9)",0.00047
"(43, 0)",0.000458
"(43, 1)",-0.000206
"(43, 2)",0.000478
"(43, 3)",0.000514
"(43, 4)",0.000545
"(43, 5)",0.000465
"(43, 6)",0.000446
"(43, 7)",0.000425
"(43, 8)",0.000434
"(43, 9)",0.000486
"(44, 0)",0.000466
"(44, 1)",0.000434
"(44, 2)",0.000406
"(44, 3)",0.000498
"(44, 4)",0.000545
"(44, 5)",0.000535
"(44, 6)",0.000478
