group,latencies
"(347, 1)",4.4e-07
"(348, 1)",2.9e-07
"(349, 1)",4.7e-07
"(350, 1)",2.7e-07
"(351, 1)",2.7e-07
"(352, 1)",2.5e-07
"(353, 1)",3.3e-07
"(354, 1)",4.9e-07
"(355, 1)",4.3e-07
"(356, 1)",4.1e-07
"(357, 1)",3.3e-07
"(358, 1)",2.7e-07
"(359, 1)",3.4e-07
"(360, 1)",3.9e-07
"(361, 1)",4.1e-07
"(362, 1)",4.7e-07
"(363, 1)",2.5e-07
"(364, 1)",3.7e-07
"(365, 1)",4e-07
"(366, 1)",3.1e-07
"(367, 1)",4.7e-07
"(368, 1)",5e-07
"(369, 1)",3.8e-07
"(370, 1)",4.1e-07
"(371, 1)",2.6e-07
"(372, 1)",2.9e-07
"(373, 1)",2.5e-07
"(374, 1)",4.9e-07
"(375, 1)",2.9e-07
"(376, 1)",3.4e-07
"(377, 1)",4.1e-07
"(378, 1)",2.7e-07
"(379, 1)",3.7e-07
"(380, 1)",3.1e-07
"(381, 1)",3e-07
"(382, 1)",4.9e-07
"(383, 1)",4.5e-07
"(384, 1)",4.5e-07
"(385, 1)",2.5e-07
"(386, 1)",3.7e-07
"(387, 1)",2.7e-07
"(388, 1)",2.5e-07
"(389, 1)",2.5e-07
"(390, 1)",4.5e-07
"(391, 1)",3.1e-07
"(392, 1)",3.3e-07
"(393, 1)",3.5e-07
"(394, 1)",4.7e-07
"(395, 1)",3.3e-07
"(396, 1)",2.5e-07
"(397, 1)",4.8e-07
"(398, 1)",4.9e-07
"(399, 1)",4.3e-07
"(400, 1)",4e-07
"(401, 1)",3.3e-07
"(402, 1)",4.9e-07
"(403, 1)",4.7e-07
"(404, 1)",3.9e-07
"(405, 1)",4.7e-07
"(406, 1)",4.1e-07
"(407, 1)",4.1e-07
"(408, 1)",4.3e-07
"(409, 1)",4.3e-07
"(410, 1)",3.3e-07
"(411, 1)",4.5e-07
"(412, 1)",3.7e-07
"(413, 1)",4.3e-07
"(414, 1)",2.9e-07
"(415, 1)",4.9e-07
"(416, 1)",2.9e-07
"(417, 1)",4.9e-07
"(418, 1)",4.5e-07
"(419, 1)",4.5e-07
"(420, 1)",3.3e-07
"(421, 1)",4.9e-07
"(422, 1)",4.1e-07
"(423, 1)",4.1e-07
"(424, 1)",2.5e-07
"(425, 1)",4.5e-07
"(426, 1)",4.7e-07
"(427, 1)",4.3e-07
"(428, 1)",3e-07
"(429, 1)",4.7e-07
"(430, 1)",3.9e-07
"(431, 1)",2.8e-07
"(432, 1)",2.7e-07
"(433, 1)",3.1e-07
"(434, 1)",2.9e-07
"(435, 1)",3.9e-07
"(436, 1)",4.5e-07
"(437, 1)",3.7e-07
"(438, 1)",3.3e-07
"(439, 1)",2.7e-07
"(440, 1)",3.5e-07
"(441, 1)",4.3e-07
"(442, 1)",4.2e-07
"(443, 1)",4e-07
"(444, 1)",3.1e-07
"(445, 1)",3.1e-07
"(446, 1)",4.7e-07
"(447, 1)",2.9e-07
"(448, 1)",3.7e-07
"(449, 1)",5.1e-07
